Grade/Class,Skills,Interests,Hobbies,Passion,Favorite Subject,Recommended Career,Salary,Job Description,Job Security,Topics to Be Covered
B.E Computer Science,"DevOps, HTML, Kubernetes, Automation",AI,Coding,Building Intelligent Systems,Electronics,Full Stack Developer,72448,Build both frontend and backend systems.,Very High,HTML-CSS-JS-React-Node-APIs
BSc Computer Science,"Networking, Python, SQL, Automation",Software Engineering,Gaming,Building Intelligent Systems,Electronics,Blockchain Developer,119052,Develop blockchain-based applications.,High,SmartContracts-Web3-Cryptography
MTech Artificial Intelligence,"Automation, JavaScript, Python, Deep Learning",Software Engineering,Exploring Open Source,Solving Problems,Computer Science,Full Stack Developer,71515,Build both frontend and backend systems.,Medium,HTML-CSS-JS-React-Node-APIs
MTech Data Science,"AWS, Networking, Python, CSS",Software Engineering,Competitive Programming,Creating Technology,Data Science,Machine Learning Engineer,137221,Build and deploy ML models.,Medium,ML-DeepLearning-ModelDeployment
B.E Information Science,"Kubernetes, Cybersecurity, AWS, Networking",Data Analytics,Debugging,Solving Problems,Data Science,AR/VR Developer,80673,Create immersive AR/VR experiences.,Very High,Unity-3D Modeling-ARKit-VRSystems
B.Tech CSE,"SQL, CSS, HTML, Python",Cloud Computing,Gaming,Creating Technology,Electronics,UI/UX Designer,109834,Design seamless user experiences.,Very High,Wireframing-Prototyping-DesignTools
Diploma in Computer Engineering,"AWS, SQL, Kubernetes, DevOps",Networking,Competitive Programming,Solving Problems,Information Technology,Backend Developer,102036,Manage server-side logic and databases.,Very High,Node-Python-Databases-APIs
B.E Information Science,"Cloud Computing, SQL, JavaScript, Linux",Ethical Hacking,Gaming,Working with Data,Computer Science,Database Administrator,96593,Manage and secure databases.,Medium,SQL-NoSQL-DBSecurity
10th,"Automation, Azure, CSS, Linux",Data Analytics,Gaming,Automating Processes,Mathematics,UI/UX Designer,124483,Design seamless user experiences.,High,Wireframing-Prototyping-DesignTools
MTech Data Science,"Deep Learning, React, Linux, CSS",App Development,Designing,Developing Web Apps,Computer Science,Frontend Developer,84471,Create interactive UI experiences.,High,HTML-CSS-JavaScript-React-UI Design
MTech Data Science,"HTML, Docker, JavaScript, Networking",Machine Learning,Exploring Open Source,Developing Web Apps,Computer Science,Network Engineer,92223,Maintain network systems and connectivity.,Medium,Routing-Switching-NetworkSecurity
MCA,"DevOps, CSS, Networking, Node.js",Machine Learning,Reading Tech Blogs,Creating Technology,Physics,AR/VR Developer,145580,Create immersive AR/VR experiences.,Medium,Unity-3D Modeling-ARKit-VRSystems
BSc Information Technology,"Node.js, JavaScript, AWS, Java",Ethical Hacking,Competitive Programming,Securing Networks,Computer Science,AI Engineer,67561,Develop AI-powered applications.,Medium,AI-ML-NLP-DeepLearning
BCA,"Data Structures, Docker, Machine Learning, AWS",Ethical Hacking,Debugging,Solving Problems,Mathematics,AI Engineer,73099,Develop AI-powered applications.,High,AI-ML-NLP-DeepLearning
BSc Information Technology,"Cloud Computing, Cybersecurity, AWS, Java",Data Analytics,Coding,Building Intelligent Systems,Electronics,Full Stack Developer,93394,Build both frontend and backend systems.,Very High,HTML-CSS-JS-React-Node-APIs
B.E Computer Science,"Cloud Computing, Azure, Cybersecurity, HTML",Networking,Coding,Automating Processes,Electronics,Game Developer,130501,Build interactive video games.,Very High,Unity-C#-GamePhysics
B.E Information Science,"CSS, Python, Automation, React",Game Design,Designing,Solving Problems,Physics,Game Developer,137737,Build interactive video games.,Very High,Unity-C#-GamePhysics
Diploma in Computer Engineering,"Automation, Deep Learning, React, Azure",Data Analytics,Reading Tech Blogs,Securing Networks,Data Science,QA Automation Engineer,145758,Write automated test suites.,Very High,Selenium-PyTest-API Testing
B.Tech CSE,"Automation, Node.js, Kubernetes, Docker",App Development,Gaming,Building Intelligent Systems,Mathematics,Game Developer,99883,Build interactive video games.,Medium,Unity-C#-GamePhysics
10th,"Node.js, React, Cloud Computing, CSS",UI/UX Design,Gaming,Building Intelligent Systems,Computer Science,Network Engineer,80382,Maintain network systems and connectivity.,High,Routing-Switching-NetworkSecurity
B.Tech IT,"Java, Linux, Cloud Computing, Automation",AI,Gaming,Working with Data,Physics,Cybersecurity Analyst,134628,Monitor and protect systems from cyber threats.,Medium,NetworkSecurity-Firewalls-EthicalHacking
B.E Information Science,"Python, Azure, React, Cybersecurity",Web Development,Designing,Securing Networks,Physics,Mobile App Developer,138181,Create mobile applications.,Medium,Android-iOS-ReactNative
MTech Data Science,"Azure, Linux, Automation, React",Ethical Hacking,Gaming,Building Intelligent Systems,Electronics,Frontend Developer,136870,Create interactive UI experiences.,Very High,HTML-CSS-JavaScript-React-UI Design
BSc Information Technology,"Azure, JavaScript, AWS, HTML",AI,Designing,Building Intelligent Systems,Data Science,Data Scientist,140185,Analyze and model data for insights.,High,Statistics-ML-DataVisualization
BSc Computer Science,"Machine Learning, DevOps, SQL, Deep Learning",Networking,Coding,Securing Networks,Physics,AR/VR Developer,93299,Create immersive AR/VR experiences.,Very High,Unity-3D Modeling-ARKit-VRSystems
Diploma in Computer Engineering,"Azure, Machine Learning, CSS, Python",Web Development,Exploring Open Source,Solving Problems,Computer Science,Mobile App Developer,112732,Create mobile applications.,Medium,Android-iOS-ReactNative
Diploma in Computer Engineering,"Docker, SQL, Azure, Node.js",Networking,Competitive Programming,Working with Data,Electronics,Network Engineer,149293,Maintain network systems and connectivity.,High,Routing-Switching-NetworkSecurity
Diploma in Computer Engineering,"Kubernetes, Docker, Deep Learning, React",Cloud Computing,Building Projects,Creating Technology,Information Technology,Network Engineer,102741,Maintain network systems and connectivity.,High,Routing-Switching-NetworkSecurity
B.E Information Science,"Machine Learning, Networking, Node.js, JavaScript",App Development,Debugging,Designing User Experiences,Computer Science,UI/UX Designer,79016,Design seamless user experiences.,High,Wireframing-Prototyping-DesignTools
MSc Computer Science,"C++, DevOps, React, SQL",Software Engineering,Building Projects,Building Intelligent Systems,Data Science,AI Engineer,85749,Develop AI-powered applications.,Very High,AI-ML-NLP-DeepLearning
MTech Data Science,"JavaScript, React, Deep Learning, Python",Web Development,Debugging,Automating Processes,Computer Science,Cloud Engineer,140888,Design and maintain cloud infrastructure.,High,AWS-Azure-GCP-Docker-Kubernetes
BCA,"Azure, Cloud Computing, HTML, Automation",Ethical Hacking,Debugging,Working with Data,Data Science,DevOps Engineer,123459,Automate CI/CD pipelines and system deployments.,High,Linux-CI/CD-Docker-Kubernetes
10th,"Deep Learning, Java, Node.js, Python",Game Design,Debugging,Building Intelligent Systems,Physics,UI/UX Designer,78197,Design seamless user experiences.,Very High,Wireframing-Prototyping-DesignTools
MSc Computer Science,"Cybersecurity, Docker, Networking, SQL",Networking,Building Projects,Creating Technology,Information Technology,QA Automation Engineer,84599,Write automated test suites.,Very High,Selenium-PyTest-API Testing
B.Tech IT,"Azure, Linux, Machine Learning, Automation",Game Design,Debugging,Working with Data,Data Science,UI/UX Designer,141139,Design seamless user experiences.,High,Wireframing-Prototyping-DesignTools
MSc Computer Science,"HTML, Java, Data Structures, Networking",UI/UX Design,Exploring Open Source,Building Intelligent Systems,Information Technology,AI Engineer,67469,Develop AI-powered applications.,High,AI-ML-NLP-DeepLearning
B.Tech IT,"SQL, Networking, JavaScript, Automation",Data Analytics,Designing,Securing Networks,Information Technology,Network Engineer,84246,Maintain network systems and connectivity.,Very High,Routing-Switching-NetworkSecurity
B.E Information Science,"Machine Learning, Networking, Docker, Deep Learning",UI/UX Design,Designing,Automating Processes,Computer Science,Full Stack Developer,142379,Build both frontend and backend systems.,High,HTML-CSS-JS-React-Node-APIs
BCA,"Cybersecurity, HTML, Java, JavaScript",UI/UX Design,Coding,Building Intelligent Systems,Physics,Blockchain Developer,121642,Develop blockchain-based applications.,Very High,SmartContracts-Web3-Cryptography
12th,"CSS, Cloud Computing, JavaScript, AWS",Cloud Computing,Gaming,Securing Networks,Data Science,Backend Developer,149613,Manage server-side logic and databases.,Very High,Node-Python-Databases-APIs
B.E Information Science,"Kubernetes, Linux, Deep Learning, Docker",App Development,Reading Tech Blogs,Creating Technology,Computer Science,AR/VR Developer,116795,Create immersive AR/VR experiences.,Very High,Unity-3D Modeling-ARKit-VRSystems
BSc Information Technology,"Deep Learning, AWS, DevOps, C++",AI,Designing,Developing Web Apps,Computer Science,Blockchain Developer,75086,Develop blockchain-based applications.,High,SmartContracts-Web3-Cryptography
MCA,"Node.js, Machine Learning, Linux, Azure",Cloud Computing,Exploring Open Source,Solving Problems,Information Technology,Full Stack Developer,137492,Build both frontend and backend systems.,High,HTML-CSS-JS-React-Node-APIs
MTech Artificial Intelligence,"Automation, Java, AWS, HTML",Networking,Gaming,Solving Problems,Computer Science,UI/UX Designer,76606,Design seamless user experiences.,Medium,Wireframing-Prototyping-DesignTools
MTech Data Science,"Cloud Computing, Cybersecurity, Kubernetes, Java",AI,Debugging,Solving Problems,Electronics,UI/UX Designer,104063,Design seamless user experiences.,Medium,Wireframing-Prototyping-DesignTools
MTech Data Science,"AWS, Machine Learning, React, Docker",Data Analytics,Exploring Open Source,Designing User Experiences,Information Technology,Software Developer,105252,Develop and maintain software applications.,Medium,DSA-OOPs-Databases-APIs
B.E Information Science,"CSS, Data Structures, Docker, Node.js",Data Analytics,Building Projects,Working with Data,Computer Science,QA Automation Engineer,65567,Write automated test suites.,High,Selenium-PyTest-API Testing
MCA,"Deep Learning, Python, Java, SQL",Game Design,Competitive Programming,Designing User Experiences,Mathematics,AI Engineer,139420,Develop AI-powered applications.,Medium,AI-ML-NLP-DeepLearning
B.Tech IT,"Linux, AWS, Docker, Data Structures",Software Engineering,Gaming,Creating Technology,Data Science,Frontend Developer,97932,Create interactive UI experiences.,Very High,HTML-CSS-JavaScript-React-UI Design
MTech Data Science,"Data Structures, Azure, CSS, Cloud Computing",App Development,Coding,Creating Technology,Physics,Cloud Engineer,98756,Design and maintain cloud infrastructure.,Very High,AWS-Azure-GCP-Docker-Kubernetes
B.Tech IT,"Node.js, AWS, Machine Learning, Java",Software Engineering,Building Projects,Securing Networks,Mathematics,QA Automation Engineer,60352,Write automated test suites.,Very High,Selenium-PyTest-API Testing
B.Tech CSE,"React, DevOps, CSS, Linux",Machine Learning,Building Projects,Securing Networks,Mathematics,Backend Developer,61610,Manage server-side logic and databases.,Medium,Node-Python-Databases-APIs
BSc Computer Science,"Java, C++, Azure, Python",Software Engineering,Building Projects,Solving Problems,Data Science,Cybersecurity Analyst,143265,Monitor and protect systems from cyber threats.,Very High,NetworkSecurity-Firewalls-EthicalHacking
B.E Computer Science,"Machine Learning, Cloud Computing, Data Structures, Node.js",Networking,Building Projects,Working with Data,Data Science,AI Engineer,71898,Develop AI-powered applications.,High,AI-ML-NLP-DeepLearning
B.Tech CSE,"Cybersecurity, Deep Learning, DevOps, JavaScript",Ethical Hacking,Designing,Creating Technology,Electronics,Game Developer,146041,Build interactive video games.,Very High,Unity-C#-GamePhysics
BSc Information Technology,"HTML, CSS, Cloud Computing, DevOps",UI/UX Design,Building Projects,Working with Data,Mathematics,UI/UX Designer,139172,Design seamless user experiences.,Medium,Wireframing-Prototyping-DesignTools
B.E Information Science,"HTML, JavaScript, Cloud Computing, SQL",Networking,Coding,Working with Data,Computer Science,Game Developer,128002,Build interactive video games.,Medium,Unity-C#-GamePhysics
BSc Computer Science,"Data Structures, Docker, HTML, Linux",Ethical Hacking,Exploring Open Source,Developing Web Apps,Data Science,Software Developer,109427,Develop and maintain software applications.,High,DSA-OOPs-Databases-APIs
BSc Computer Science,"HTML, Data Structures, React, Deep Learning",Machine Learning,Designing,Automating Processes,Data Science,Data Scientist,135732,Analyze and model data for insights.,High,Statistics-ML-DataVisualization
B.Tech CSE,"JavaScript, Networking, Node.js, Cloud Computing",Game Design,Exploring Open Source,Automating Processes,Electronics,Machine Learning Engineer,67436,Build and deploy ML models.,Medium,ML-DeepLearning-ModelDeployment
BCA,"JavaScript, Data Structures, Deep Learning, Java",UI/UX Design,Coding,Automating Processes,Mathematics,AI Engineer,68717,Develop AI-powered applications.,Medium,AI-ML-NLP-DeepLearning
Diploma in Computer Engineering,"Automation, AWS, React, Python",Networking,Reading Tech Blogs,Building Intelligent Systems,Mathematics,Cybersecurity Analyst,136496,Monitor and protect systems from cyber threats.,Very High,NetworkSecurity-Firewalls-EthicalHacking
MSc Computer Science,"Linux, Deep Learning, CSS, Cloud Computing",Cloud Computing,Designing,Developing Web Apps,Mathematics,Mobile App Developer,145771,Create mobile applications.,Medium,Android-iOS-ReactNative
BSc Computer Science,"Cloud Computing, Python, Node.js, Kubernetes",AI,Competitive Programming,Working with Data,Mathematics,Machine Learning Engineer,94406,Build and deploy ML models.,Very High,ML-DeepLearning-ModelDeployment
B.Tech IT,"JavaScript, Java, Linux, Azure",Networking,Exploring Open Source,Working with Data,Data Science,Frontend Developer,76319,Create interactive UI experiences.,High,HTML-CSS-JavaScript-React-UI Design
